month,price
1997-01-07,3.82
1997-02-03,2.49
1997-03-03,1.8
1997-04-01,1.95
1997-05-01,2.19
1997-06-02,2.2
1997-07-01,2.16
1997-08-01,2.24
1997-09-02,2.82
1997-10-01,3.08
